genome_ID,CRISPR_Cas,AMR
GCA_002116925.1_ASM211692v1,1,6
GCA_009035845.1_ASM903584v1,1,6
GCA_014672755.1_ASM1467275v1,1,6
GCA_009759685.1_ASM975968v1,1,6
GCA_014874575.1_ASM1487457v1,1,15
GCA_000746645.1_ASM74664v1,0,15
GCA_001896005.1_ASM189600v1,1,15
GCA_003010675.1_ASM301067v1,1,12
GCA_012934905.1_ASM1293490v1,1,21
GCA_003812485.1_ASM381248v1,0,26
GCA_000498375.2_ASM49837v2,0,24
GCA_001578145.1_ASM157814v1,0,14
GCA_003431385.1_ASM343138v1,1,10
GCA_002996805.1_ASM299680v1,1,36
GCA_005518095.1_ASM551809v1,1,21
GCA_012935005.1_ASM1293500v1,1,16
GCA_006385075.1_ASM638507v1,1,11
GCA_003522665.1_ASM352266v1,0,16
GCA_003264275.1_ASM326427v1,0,24
GCA_015732435.1_ASM1573243v1,0,19
GCA_012931625.1_ASM1293162v1,0,13
GCA_003431865.1_ASM343186v1,0,10
GCA_009455505.1_ASM945550v1,0,19
GCA_012931645.1_ASM1293164v1,0,13
GCA_003345235.1_ASM334523v1,0,12
GCA_001026965.1_ASM102696v1,0,21
GCA_001514375.1_ASM151437v1,0,19
GCA_005280435.1_ASM528043v1,0,19
GCA_013305465.1_ASM1330546v1,0,20
GCA_003547115.1_ASM354711v1,0,10
GCA_002082785.1_ASM208278v1,1,20
GCA_001543995.1_ASM154399v1,0,22
GCA_012272755.1_ASM1227275v1,0,23
GCA_001399655.1_ASM139965v1,1,10
GCA_000021245.2_ASM2124v2,1,17
GCA_013394285.1_ASM1339428v1,0,22
GCA_002753915.1_ASM275391v1,0,17
GCA_012935145.1_ASM1293514v1,0,20
GCA_003948085.2_ASM394808v2,0,11
GCA_900478145.1_34555_D01,1,17
GCA_003949115.2_ASM394911v2,0,11
GCA_900088705.1_26872B01,0,13
GCA_014705785.1_ASM1470578v1,0,18
GCA_003006035.1_ASM300603v1,1,14
GCA_016127515.1_ASM1612751v1,1,17
GCA_002210065.1_ASM221006v1,1,17
GCA_012272735.1_ASM1227273v1,0,23
GCA_014705885.1_ASM1470588v1,0,18
GCA_005280715.1_ASM528071v1,0,28
GCA_014705825.1_ASM1470582v1,0,22
GCA_003522785.1_ASM352278v1,0,19
GCA_009498335.1_ASM949833v1,0,16
GCA_002947845.1_ASM294784v1,1,9
GCA_000226275.2_ASM22627v2,0,22
