genome_ID,CRISPR_Cas,AMR
GCA_000013425.1_ASM1342v1,0,4
GCA_001027105.1_ASM102710v1,0,4
GCA_006094915.1_ASM609491v1,0,4
GCA_006364675.1_ASM636467v1,0,5
GCA_002895385.1_ASM289538v1,0,21
GCA_001641025.1_ASM164102v1,0,21
GCA_003945425.1_ASM394542v1,0,12
GCA_900607265.1_BPH2003,0,20
GCA_004136255.1_ASM413625v1,0,17
GCA_900620245.1_BPH2947,0,20
GCA_001515745.1_ASM151574v1,0,18
GCA_000769575.1_ASM76957v1,0,18
GCA_003264815.1_ASM326481v1,0,21
GCA_000027045.1_ASM2704v1,0,21
GCA_002097595.2_ASM209759v2,0,20
GCA_900607305.1_BPH2056,0,22
GCA_001515685.1_ASM151568v1,0,19
GCA_001515705.1_ASM151570v1,0,19
GCA_000485885.1_ASM48588v1,0,21
GCA_001515665.1_ASM151566v1,0,19
GCA_000418345.1_ASM41834v1,0,20
GCA_900607295.1_BPH2869,0,19
GCA_006088835.1_ASM608883v1,0,17
GCA_001515765.1_ASM151576v1,0,17
GCA_903932605.1_HU-14,0,13
GCA_903932595.1_P3.1,0,13
GCA_005706035.1_ASM570603v1,0,18
GCA_013389715.1_ASM1338971v1,0,17
GCA_006364775.1_ASM636477v1,0,16
GCA_003193745.1_ASM319374v1,1,11
GCA_003945405.1_ASM394540v1,0,7
GCA_009176785.1_ASM917678v1,0,20
GCA_009176875.1_ASM917687v1,0,19
GCA_900324235.1_5_3949,0,9
GCA_003264775.1_ASM326477v1,0,20
GCA_001019485.2_ASM101948v2,0,12
GCA_000746505.1_ASM74650v1,0,13
GCA_900637155.1_49386_H02,0,10
GCA_001640905.1_ASM164090v1,0,17
GCA_004614315.1_ASM461431v1,0,6
GCA_900474575.1_40415_F02,0,18
GCA_009912435.1_ASM991243v1,0,6
GCA_900474725.1_40677_A01,0,13
GCA_009912475.1_ASM991247v1,0,6
GCA_009176765.1_ASM917676v1,0,15
GCA_008370815.1_ASM837081v1,0,17
GCA_008620055.1_ASM862005v1,0,16
GCA_007410625.1_ASM741062v1,0,15
GCA_005890015.1_ASM589001v1,0,15
GCA_900607285.1_BPH3244,0,17
GCA_900474525.1_40677_F01,0,15
GCA_003354945.1_ASM335494v1,0,15
GCA_015219905.1_ASM1521990v1,0,19
GCA_009912795.1_ASM991279v1,0,10
GCA_900607245.1_JKD6009,0,19
GCA_900607275.1_BPH2070,0,18
