genome_ID,CRISPR_Cas,AMR
GCA_000006765.1_ASM676v1,0,8
GCA_001045685.1_ASM104568v1,1,8
GCA_001457615.1_NCTC10332,1,8
GCA_013201115.1_ASM1320111v1,1,10
GCA_000981825.1_ASM98182v1,0,20
GCA_002208645.1_ASM220864v1,0,13
GCA_002085605.1_ASM208560v1,0,19
GCA_009676765.1_ASM967676v1,1,9
GCA_009676785.1_ASM967678v1,1,9
GCA_001516265.1_ASM151626v1,0,16
GCA_003073795.1_ASM307379v1,1,12
GCA_002192495.1_ASM219249v1,1,22
GCA_002968655.1_ASM296865v1,1,20
GCA_900497025.1_ASM90049702v1,0,16
GCA_009662315.1_ASM966231v1,0,19
GCA_002968955.1_ASM296895v1,0,29
GCA_013394475.1_ASM1339447v1,0,29
GCA_016105505.1_ASM1610550v1,1,9
GCA_013393685.1_ASM1339368v1,0,9
GCA_002205355.1_ASM220535v1,0,15
GCA_003073895.1_ASM307389v1,0,13
GCA_003073735.1_ASM307373v1,0,16
GCA_003813025.1_ASM381302v1,1,23
GCA_003369755.1_ASM336975v1,0,16
GCA_003433235.1_ASM343323v1,0,18
GCA_014155905.1_ASM1415590v1,1,15
GCA_001547955.1_ASM154795v1,1,23
GCA_015697665.1_ASM1569766v1,0,19
GCA_003798105.1_ASM379810v1,1,9
GCA_013393665.1_ASM1339366v1,0,18
GCA_000496455.2_ASM49645v2,1,13
GCA_003028335.1_ASM302833v1,0,10
GCA_002205375.1_ASM220537v1,0,9
GCA_900243355.1_RW109,1,10
GCA_003950015.1_ASM395001v1,1,14
GCA_016064595.1_ASM1606459v1,1,11
GCA_002085755.1_ASM208575v1,0,19
GCA_003206535.1_ASM320653v1,1,29
GCA_003641125.1_ASM364112v1,0,8
GCA_003813005.1_ASM381300v1,0,9
GCA_001632245.1_ASM163224v1,0,10
GCA_001870265.1_ASM187026v1,1,18
GCA_015832055.1_ASM1583205v1,0,14
GCA_002968695.1_ASM296869v1,1,26
GCA_008195485.1_ASM819548v1,1,24
GCA_002192475.1_ASM219247v1,0,14
GCA_001792875.1_ASM179287v1,0,18
GCA_003991465.1_ASM399146v1,1,32
GCA_003812885.1_ASM381288v1,0,16
GCA_002104595.1_ASM210459v1,1,23
GCA_003571505.1_ASM357150v1,1,13
GCA_002237405.1_ASM223740v1,0,9
GCA_003571805.1_ASM357180v1,1,25
GCA_002237425.1_ASM223742v1,0,9
GCA_900618305.1_paerg009,0,8
GCA_003408495.1_ASM340849v1,0,15
GCA_003950255.1_ASM395025v1,1,28
GCA_015697645.1_ASM1569764v1,0,17
GCA_001515845.2_ASM151584v2,0,11
GCA_905071885.1_MINF_3A,1,17
GCA_900618285.1_paerg005,0,8
GCA_002287725.2_ASM228772v2,0,9
GCA_013343515.1_ASM1334351v1,0,9
GCA_003812165.1_ASM381216v1,0,9
GCA_001792855.1_ASM179285v1,1,20
GCA_009497675.1_ASM949767v1,0,19
GCA_002411865.3_ASM241186v3,0,25
GCA_013255565.1_ASM1325556v1,1,23
GCA_015832075.1_ASM1583207v1,0,11
GCA_900185255.1_NN2,1,12
GCA_004193735.1_ASM419373v1,0,36
GCA_001516385.1_ASM151638v1,1,9
GCA_001548335.1_ASM154833v1,0,24
GCA_001516225.2_ASM151622v2,1,9
GCA_014792125.1_ASM1479212v1,0,12
GCA_002104615.1_ASM210461v1,1,22
GCA_003052005.2_ASM305200v2,0,9
GCA_003411785.2_ASM341178v2,0,13
GCA_003716765.1_ASM371676v1,1,25
GCA_003319235.1_ASM331923v1,0,9
GCA_003626935.2_ASM362693v2,1,18
GCA_013393705.1_ASM1339370v1,1,16
GCA_013305645.1_ASM1330564v1,1,28
GCA_003369735.1_ASM336973v1,0,16
GCA_003060845.1_ASM306084v1,1,9
GCA_001750705.1_ASM175070v1,0,9
GCA_003812905.1_ASM381290v1,0,11
GCA_003194245.1_ASM319424v1,1,9
GCA_003073615.1_ASM307361v1,1,23
GCA_000829255.1_ASM82925v1,0,17
GCA_016126955.1_ASM1612695v1,0,9
GCA_900636755.1_43941_E01,0,9
GCA_001516345.1_ASM151634v1,1,9
GCA_009664165.1_ASM966416v1,1,16
GCA_000763245.3_ASM76324v3,1,21
GCA_001687285.1_ASM168728v1,0,9
GCA_013347245.1_ASM1334724v1,1,26
GCA_902703195.1_PcyII-40,0,8
GCA_003369775.1_ASM336977v1,0,12
GCA_001618925.1_ASM161892v1,0,9
GCA_004010895.1_ASM401089v1,0,9
GCA_002997005.1_ASM299700v1,1,8
GCA_004291075.1_ASM429107v1,0,8
GCA_000473745.3_ASM47374v3,0,20
GCA_002215345.1_ASM221534v1,1,30
GCA_000829275.1_ASM82927v1,0,17
GCA_008705235.1_ASM870523v1,1,8
GCA_003332705.2_ASM333270v2,0,10
GCA_007559065.1_ASM755906v1,1,8
GCA_001516165.2_ASM151616v2,1,9
GCA_013343335.1_ASM1334333v1,1,9
GCA_003204335.1_ASM320433v1,1,17
GCA_011466835.1_ASM1146683v1,1,15
GCA_001515915.2_ASM151591v2,0,9
GCA_001542835.1_ASM154283v1,0,9
GCA_006364795.1_ASM636479v1,1,9
GCA_001516185.2_ASM151618v2,1,8
GCA_009720405.1_ASM972040v1,0,26
GCA_013341315.1_ASM1334131v1,0,8
GCA_001516205.2_ASM151620v2,0,9
GCA_013376775.1_ASM1337677v1,1,24
GCA_900636735.1_43941_C01,1,10
GCA_900636975.1_45813_F01,1,20
GCA_000284555.1_ASM28455v1,0,13
GCA_007833895.1_ASM783389v1,0,11
GCA_002812905.2_ASM281290v2,0,12
GCA_002812925.1_ASM281292v1,0,12
GCA_014217315.1_ASM1421731v1,0,9
GCA_002968585.1_ASM296858v1,0,16
GCA_003952325.1_ASM395232v1,1,19
GCA_009676885.1_ASM967688v1,0,9
GCA_003798145.1_ASM379814v1,1,8
GCA_000510305.1_ASM51030v1,1,9
GCA_001874465.1_ASM187446v1,1,9
GCA_001792835.1_ASM179283v1,1,19
GCA_011106815.1_ASM1110681v1,1,22
GCA_013343395.1_ASM1334339v1,1,9
GCA_007559105.1_ASM755910v1,1,8
GCA_000829885.1_ASM82988v1,0,9
GCA_003798125.1_ASM379812v1,1,8
GCA_003288435.1_ASM328843v1,1,8
GCA_001721845.1_ASM172184v1,1,21
GCA_001722025.1_ASM172202v1,1,22
GCA_001721825.1_ASM172182v1,1,22
GCA_001721805.1_ASM172180v1,1,22
GCA_012971705.1_ASM1297170v1,0,9
GCA_002223805.1_ASM222380v1,1,8
GCA_016105885.1_ASM1610588v1,0,9
GCA_001721785.1_ASM172178v1,1,15
GCA_002946935.1_ASM294693v1,1,11
GCA_001721745.1_ASM172174v1,1,15
GCA_001721765.1_ASM172176v1,1,15
GCA_001722005.2_ASM172200v2,0,9
GCA_001722045.1_ASM172204v1,1,15
GCA_002812845.1_ASM281284v1,1,8
GCA_002753655.1_ASM275365v1,1,13
GCA_902703185.1_PcyII-29,1,9
GCA_001594325.2_ASM159432v2,1,9
GCA_007559085.1_ASM755908v1,1,9
GCA_001548135.1_ASM154813v1,1,9
GCA_000816985.1_ASM81698v1,1,8
GCA_000026645.1_ASM2664v1,1,8
GCA_000017205.1_ASM1720v1,1,16
GCA_002968755.1_ASM296875v1,1,12
GCA_003073695.1_ASM307369v1,1,12
GCA_000504045.1_ASM50404v1,0,9
GCA_013394455.1_ASM1339445v1,1,16
GCA_009720425.1_ASM972042v1,0,29
GCA_001516325.2_ASM151632v2,1,9
GCA_002205335.1_ASM220533v1,1,9
GCA_013343575.1_ASM1334357v1,1,9
GCA_016134915.1_ASM1613491v1,0,13
GCA_014490645.1_ASM1449064v1,1,8
GCA_000508765.1_ASM50876v1,1,8
GCA_013343315.1_ASM1334331v1,0,9
GCA_003429185.1_ASM342918v1,0,9
GCA_013201095.1_ASM1320109v1,0,8
GCA_900095805.1_PA14Or,1,9
GCA_003288355.1_ASM328835v1,0,8
GCA_005305005.1_ASM530500v1,1,16
GCA_000014625.1_ASM1462v1,1,9
GCA_006971785.1_ASM697178v1,1,8
GCA_002812825.1_ASM281282v1,1,7
GCA_013343495.1_ASM1334349v1,0,9
GCA_014854655.1_ASM1485465v1,0,8
GCA_001516245.2_ASM151624v2,1,9
GCA_007559125.1_ASM755912v1,0,8
GCA_013343375.1_ASM1334337v1,1,9
GCA_001879525.1_ASM187952v1,0,8
GCA_003429205.1_ASM342920v1,1,9
GCA_008033725.1_ASM803372v1,1,9
GCA_001293085.1_ASM129308v1,0,9
GCA_000496605.2_ASM49660v2,0,9
GCA_013260445.1_ASM1326044v1,1,8
GCA_900618245.1_paerg000,0,8
GCA_013467605.1_ASM1346760v1,1,8
GCA_013467585.1_ASM1346758v1,1,8
GCA_013395035.1_ASM1339503v1,1,8
GCA_008033765.1_ASM803376v1,1,9
GCA_008033745.1_ASM803374v1,1,9
GCA_015697465.1_ASM1569746v1,1,9
GCA_902703215.1_C7-25,0,8
GCA_016105665.1_ASM1610566v1,1,9
GCA_003193645.1_ASM319364v1,1,8
GCA_002968515.1_ASM296851v1,1,9
GCA_001516365.2_ASM151636v2,1,8
GCA_001516105.1_ASM151610v1,1,8
GCA_900618265.1_paerg004,1,9
GCA_900618255.1_paerg002,1,9
GCA_002075065.1_ASM207506v1,1,9
GCA_009648875.1_ASM964887v1,1,8
GCA_014467035.1_ASM1446703v1,1,8
GCA_002812865.1_ASM281286v1,0,14
GCA_002812885.1_ASM281288v1,0,14
GCA_900618325.1_paerg011,1,9
GCA_900618335.1_paerg012,1,9
GCA_900618275.1_paerg003,1,9
GCA_900618315.1_paerg010,1,9
GCA_000524595.1_ASM52459v1,1,9
GCA_001482325.1_ASM148232v1,0,8
GCA_001679685.1_ASM167968v1,1,22
GCA_000359505.1_ASM35950v1,0,9
GCA_013343355.1_ASM1334335v1,1,9
GCA_000271365.1_ASM27136v1,1,8
GCA_001447845.1_ASM144784v1,1,10
GCA_009911735.1_ASM991173v1,1,8
GCA_902172305.2_Pseudomonas_aeruginosa_PAKAF,0,8
GCA_013343535.1_ASM1334353v1,1,8
GCA_013341295.1_ASM1334129v1,1,8
GCA_013343475.1_ASM1334347v1,1,8
GCA_004102665.1_ASM410266v1,0,9
GCA_012276675.1_ASM1227667v1,1,8
GCA_004355145.1_ASM435514v1,1,8
GCA_004355125.1_ASM435512v1,1,8
GCA_001606045.1_ASM160604v1,1,9
GCA_001077475.1_ASM107747v1,1,8
GCA_001518975.1_ASM151897v1,0,8
GCA_900637045.1_46837_C02,1,8
GCA_001542795.2_ASM154279v2,1,8
GCA_000414035.1_ASM41403v1,1,9
GCA_009905195.1_ASM990519v1,1,9
GCA_002442855.1_ASM244285v1,1,8
GCA_001516305.2_ASM151630v2,0,8
GCA_000226155.1_ASM22615v1,1,8
GCA_015697605.1_ASM1569760v1,1,8
GCA_001516005.1_ASM151600v1,0,8
GCA_000496645.1_ASM49664v1,0,8
GCA_003288335.1_ASM328833v1,1,8
GCA_009867055.1_ASM986705v1,1,8
GCA_013343455.1_ASM1334345v1,1,8
GCA_900149285.1_PcyII-10,1,8
GCA_012935295.1_ASM1293529v1,0,8
GCA_000568855.2_ASM56885v2,0,8
GCA_011045375.1_ASM1104537v1,1,8
GCA_900070375.1_PAO1OR,0,8
GCA_001729505.1_ASM172950v1,0,8
GCA_016107485.1_ASM1610748v1,0,8
GCA_013305765.1_ASM1330576v1,0,8
GCA_013305845.1_ASM1330584v1,0,8
GCA_904866275.1_MINF_7A,1,8
GCA_013305815.1_ASM1330581v1,0,7
GCA_006364735.1_ASM636473v1,0,7
GCA_003957825.1_ASM395782v1,0,7
GCA_000271985.2_ASM27198v2,1,8
GCA_004014755.2_ASM401475v2,0,5
GCA_013343555.1_ASM1334355v1,1,8
GCA_014930935.1_ASM1493093v1,0,8
GCA_013001005.1_ASM1300100v1,0,7
GCA_001900265.1_ASM190026v1,1,8
GCA_001900225.1_ASM190022v1,1,8
GCA_001900195.1_ASM190019v1,1,8
GCA_900069025.1_ASM90006902v1,1,8
GCA_008245185.1_ASM824518v1,1,7
GCA_003025345.2_ASM302534v2,1,7
GCA_013343415.1_ASM1334341v1,1,8
GCA_013343435.1_ASM1334343v1,1,8
GCA_003952285.1_ASM395228v1,1,11
GCA_009498355.1_ASM949835v1,1,33
GCA_014672795.1_ASM1467279v1,1,9
GCA_003950235.1_ASM395023v1,1,27
GCA_003713085.1_ASM371308v1,1,21
GCA_901472545.1_36340_E01,1,9
GCA_901472595.1_36340_C01,0,9
GCA_901472565.1_36340_H02,1,8
GCA_003952305.1_ASM395230v1,1,16
GCA_900478745.1_32018_A01,1,9
GCA_010694505.1_ASM1069450v1,1,7
GCA_003691345.1_ASM369134v1,1,8
GCA_001465155.1_ASM146515v1,0,8
GCA_001042925.1_G1273,1,8
GCA_012987025.1_ASM1298702v1,1,8
GCA_008801675.1_ASM880167v1,0,8
GCA_900167195.1_IMG-taxon_2568526011_annotated_assembly,1,0
GCA_003000655.1_ASM300065v1,1,11
GCA_003260415.1_ASM326041v1,0,9
GCA_003938805.1_ASM393880v1,1,21
GCA_003324295.1_ASM332429v1,0,13
GCA_003324405.1_ASM332440v1,0,19
GCA_013240325.1_ASM1324032v1,0,9
GCA_003324275.1_ASM332427v1,0,13
GCA_002263545.1_ASM226354v1,0,9
GCA_001874805.1_ASM187480v1,0,25
GCA_001471435.2_ASM147143v2,1,8
GCA_003000695.1_ASM300069v1,0,9
GCA_001875215.1_ASM187521v1,1,24
GCA_001086805.1_ASM108680v1,0,20
GCA_900455415.1_45532_B02,1,21
GCA_000223925.2_ASM22392v2,1,0
GCA_001471355.2_ASM147135v2,1,9
GCA_001802735.1_ASM180273v1,1,19
GCA_003324255.1_ASM332425v1,0,9
GCA_015732105.1_ASM1573210v1,1,9
GCA_016461995.1_ASM1646199v1,0,11
GCA_013240435.1_ASM1324043v1,1,9
GCA_002206285.2_ASM220628v2,0,9
GCA_900455425.1_43366_D01,1,9
GCA_900455555.1_44927_G02,1,10
