genome_ID,CRISPR_Cas,AMR
GCA_000240185.2_ASM24018v2,0,21
GCA_006364295.1_ASM636429v1,0,6
GCA_011045595.1_ASM1104559v1,0,70
GCA_904865705.1_KSB1_9F,0,6
GCA_904866515.1_KSB1_10B,1,6
GCA_002761315.1_ASM276131v1,1,6
GCA_002903005.1_ASM290300v1,1,14
GCA_002202195.1_ASM220219v1,0,41
GCA_904863155.1_INF058,0,17
GCA_011066505.1_ASM1106650v1,0,16
GCA_002156725.1_ASM215672v1,0,17
GCA_002156745.1_ASM215674v1,0,31
GCA_010183685.1_ASM1018368v1,0,26
GCA_003574255.1_ASM357425v1,1,26
GCA_003574275.1_ASM357427v1,1,26
GCA_002752775.1_ASM275277v1,0,17
GCA_008121515.1_ASM812151v1,0,24
GCA_904866545.1_INF232,0,6
GCA_000775375.1_ASM77537v1,0,17
GCA_004120115.1_ASM412011v1,0,20
GCA_015243235.1_ASM1524323v1,0,17
GCA_010450855.1_ASM1045085v1,0,6
GCA_003203435.1_ASM320343v1,1,16
GCA_014108845.1_ASM1410884v1,0,25
GCA_009755705.1_ASM975570v1,0,14
GCA_002967795.2_ASM296779v2,0,19
GCA_004120095.1_ASM412009v1,0,16
GCA_002812665.1_ASM281266v1,0,22
GCA_004119955.1_ASM411995v1,0,22
GCA_001902475.1_ASM190247v1,0,15
GCA_015992305.1_ASM1599230v1,0,27
GCA_004119975.1_ASM411997v1,0,22
GCA_012029945.2_ASM1202994v2,0,14
GCA_002935085.1_ASM293508v1,1,12
GCA_015992425.1_ASM1599242v1,0,23
GCA_009833945.1_ASM983394v1,0,15
GCA_001548315.1_ASM154831v1,1,6
GCA_011022255.1_ASM1102225v1,0,6
GCA_003367555.1_ASM336755v1,0,18
GCA_009856585.1_ASM985658v1,0,17
GCA_904865755.1_INF341,1,6
GCA_000775395.1_ASM77539v1,0,24
GCA_002197225.1_ASM219722v1,0,20
GCA_904866445.1_INF305,0,27
GCA_013423825.1_ASM1342382v1,0,30
GCA_004119995.1_ASM411999v1,0,18
GCA_004120075.1_ASM412007v1,0,19
GCA_904863135.1_INF310,0,27
GCA_904866325.1_INF299,0,27
GCA_003073335.1_ASM307333v1,0,28
GCA_003432165.1_ASM343216v1,0,28
GCA_904865815.1_INF281,0,27
GCA_904864465.1_INF298,0,27
GCA_904865715.1_KSB1_5H,0,27
GCA_009834285.1_ASM983428v1,0,14
GCA_001316565.3_ASM131656v3,0,26
GCA_001902435.1_ASM190243v1,0,26
GCA_001902515.1_ASM190251v1,0,26
GCA_009661535.2_ASM966153v2,0,17
GCA_010183645.1_ASM1018364v1,0,20
GCA_013735895.1_ASM1373589v1,0,7
GCA_904863065.1_KSB2_3A,1,6
GCA_002853435.2_ASM285343v2,0,21
GCA_013305325.1_ASM1330532v1,0,19
GCA_002848545.1_ASM284854v1,0,14
GCA_001902235.1_ASM190223v1,0,18
GCA_001644765.1_ASM164476v1,1,21
GCA_015992325.1_ASM1599232v1,0,15
GCA_002970375.3_ASM297037v3,1,10
GCA_012029975.2_ASM1202997v2,0,17
GCA_015992265.1_ASM1599226v1,0,13
GCA_002813595.1_ASM281359v1,1,6
GCA_015356055.1_ASM1535605v1,0,18
GCA_002587165.1_ASM258716v1,0,23
GCA_008728695.1_ASM872869v1,0,17
GCA_015356035.1_ASM1535603v1,0,23
GCA_002811305.2_ASM281130v2,0,15
GCA_014854815.1_ASM1485481v1,0,17
GCA_003584585.1_ASM358458v1,0,20
GCA_001913175.1_ASM191317v1,0,17
GCA_002164835.3_ASM216483v3,0,16
GCA_015355995.1_ASM1535599v1,0,18
GCA_002278055.1_ASM227805v1,0,10
GCA_009684575.1_ASM968457v1,0,12
GCA_904866265.1_INF154,0,5
GCA_016066295.1_ASM1606629v1,0,6
GCA_006494895.1_ASM649489v1,0,17
GCA_904865665.1_KSB2_5A,0,18
GCA_015992405.1_ASM1599240v1,0,11
GCA_003856475.1_ASM385647v1,0,16
GCA_001952915.1_ASM195291v1,0,19
GCA_015355835.1_ASM1535583v1,1,6
GCA_014495785.1_ASM1449578v1,1,20
GCA_002852975.2_ASM285297v2,0,17
GCA_904865775.1_INF290,0,6
GCA_015284665.1_ASM1528466v1,1,6
GCA_001702045.2_ASM170204v2,0,35
GCA_014495765.1_ASM1449576v1,1,20
GCA_900622605.1_AJ218,0,10
GCA_015992385.1_ASM1599238v1,0,15
GCA_014041505.2_ASM1404150v2,0,22
GCA_003855515.1_ASM385551v1,1,17
GCA_003940845.1_ASM394084v1,0,46
GCA_004118955.1_ASM411895v1,1,6
GCA_002300675.2_ASM230067v2,0,17
GCA_014041735.2_ASM1404173v2,0,13
GCA_006459145.1_ASM645914v1,0,34
